,id_mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_armas,barrio,comuna,latitud,longitud,victimas
957,LC-2020-0069188,2020,Febrero,Sábado,01/02/2020,20,Lesiones,Siniestro Vial,,Belgrano,13.0,-34.56002,-58.458255,
958,LC-2020-0069268,2020,Febrero,Domingo,02/02/2020,3,Lesiones,Siniestro Vial,,Palermo,14.0,-34.564889,-58.434413,
959,LC-2020-0069271,2020,Febrero,Domingo,02/02/2020,4,Lesiones,Siniestro Vial,,Villa Lugano,8.0,-34.684785,-58.486725,
960,LC-2020-0069286,2020,Febrero,Domingo,02/02/2020,4,Lesiones,Siniestro Vial,,Barracas,4.0,-34.630267,-58.3713,
961,LC-2020-0069427,2020,Febrero,Domingo,02/02/2020,7,Lesiones,Siniestro Vial,,San Cristóbal,3.0,-34.624227,-58.402182,
962,LC-2020-0069607,2020,Febrero,Domingo,02/02/2020,7,Lesiones,Siniestro Vial,,Retiro,1.0,-34.58239,-58.381866,
963,LC-2020-0069636,2020,Febrero,Domingo,02/02/2020,12,Lesiones,Siniestro Vial,,Saavedra,12.0,-34.546717,-58.46994,
964,LC-2020-0069739,2020,Febrero,Domingo,02/02/2020,15,Lesiones,Siniestro Vial,,,,,,
965,LC-2020-0069786,2020,Febrero,Domingo,02/02/2020,15,Lesiones,Siniestro Vial,,Balvanera,3.0,-34.618283,-58.395736,
966,LC-2020-0069841,2020,Febrero,Domingo,02/02/2020,15,Lesiones,Siniestro Vial,,Mataderos,9.0,-34.646334,-58.496785,
967,LC-2020-0069923,2020,Febrero,Domingo,02/02/2020,17,Lesiones,Siniestro Vial,,Mataderos,9.0,-34.655628,-58.49305,
968,LC-2020-0070158,2020,Febrero,Domingo,02/02/2020,19,Lesiones,Siniestro Vial,,San Telmo,1.0,-34.617004,-58.368691,
969,LC-2020-0070172,2020,Febrero,Domingo,02/02/2020,20,Lesiones,Siniestro Vial,,Villa Crespo,15.0,-34.598423,-58.427991,
970,LC-2020-0070202,2020,Febrero,Domingo,02/02/2020,21,Lesiones,Siniestro Vial,,Monte Castro,10.0,-34.612571,-58.50053,
971,LC-2020-0070318,2020,Febrero,Domingo,02/02/2020,23,Lesiones,Siniestro Vial,,Retiro,1.0,-34.595465,-58.382725,
972,LC-2020-0070340,2020,Febrero,Domingo,02/02/2020,23,Lesiones,Siniestro Vial,,Caballito,6.0,-34.625931,-58.435263,
973,LC-2020-0070354,2020,Febrero,Domingo,02/02/2020,23,Lesiones,Siniestro Vial,,Monserrat,1.0,-34.613334,-58.384663,
974,LC-2020-0070572,2020,Febrero,Lunes,03/02/2020,5,Lesiones,Siniestro Vial,,,,,,
975,LC-2020-0070858,2020,Febrero,Lunes,03/02/2020,9,Lesiones,Siniestro Vial,,Saavedra,12.0,-34.53999,-58.474928,
976,LC-2020-0071163,2020,Febrero,Lunes,03/02/2020,9,Lesiones,Siniestro Vial,,,,,,
977,LC-2020-0071330,2020,Febrero,Lunes,03/02/2020,11,Lesiones,Siniestro Vial,,Chacarita,15.0,-34.57839,-58.45854,
978,LC-2020-0071366,2020,Febrero,Lunes,03/02/2020,11,Lesiones,Siniestro Vial,,Nueva Pompeya,4.0,-34.652387,-58.424513,
979,LC-2020-0071399,2020,Febrero,Lunes,03/02/2020,11,Lesiones,Siniestro Vial,,Villa Crespo,15.0,-34.594763,-58.444303,
980,LC-2020-0071405,2020,Febrero,Lunes,03/02/2020,12,Lesiones,Siniestro Vial,,Flores,7.0,-34.629666,-58.470217,
981,LC-2020-0071518,2020,Enero,Viernes,31/01/2020,19,Lesiones,Siniestro Vial,,Villa Crespo,15.0,-34.597852,-58.448775,
982,LC-2020-0071596,2020,Febrero,Lunes,03/02/2020,13,Lesiones,Siniestro Vial,,San Nicolás,1.0,-34.603403,-58.376667,
983,LC-2020-0071625,2020,Febrero,Domingo,02/02/2020,17,Lesiones,Siniestro Vial,,Flores,7.0,-34.648812,-58.440701,
984,LC-2020-0071825,2020,Febrero,Lunes,03/02/2020,15,Lesiones,Siniestro Vial,,Saavedra,12.0,-34.539371,-58.475488,
